filial;referencia;categoria;subcategoria;valor_venda;qtde_estoque;status_foto;status_referencia;motivo_devolucao
loja 01;29.16923_0024;colete / kimono;kimono;895;5;com foto;desativado;falta de padrao no tamanho
loja 01;29.16854_04312;bermuda /short;short;516;4;com foto;ativo no site;0
loja 01;29.15618_0005;blusa;blusa;636;4;com foto;ativo no site;0
loja 01;29.15033_04065;vestido;vestido;1116;4;com foto;ativo no site;0
loja 01;29.06715_2440;calca;calca;956;4;com foto;desativado;falta de padrao no tamanho
loja 01;29.14393_27248;macacao;macacao;756;4;com foto;ativo no site;0
loja 01;29.16045_30002;vestido;vestido;796;4;com foto;ativo no site;0
loja 01;29.15318_04035;casaco / jaqueta;casaco;837;3;com foto;ativo no site;0
loja 01;29.15688_04065;blusa;top;207;3;com foto;ativo no site;0
loja 01;29.14142_741;blusa;blusa;327;3;com foto;ativo no site;0
loja 01;29.11394_1339;macacao;macacao;717;3;com foto;ativo no site;0
loja 01;29.14156_04003;blusa;blusa;387;3;com foto;ativo no site;0
loja 01;29.11665_00066;vestido;vestido;357;3;com foto;desativado;falta de padrao no tamanho
loja 01;29.15365_04067;macacao;macacao;477;3;com foto;ativo no site;0
loja 01;29.15804_0005;bermuda /short;short;357;3;com foto;desativado;falta de padrao no tamanho
loja 01;29.15618_0024;blusa;blusa;477;3;com foto;ativo no site;0
loja 01;29.06069_2435;saia;saia;417;3;com foto;ativo no site;0
loja 01;29.15748_27559;blusa;blusa;297;3;com foto;ativo no site;0
loja 01;29.13915_4451;vestido;vestido;297;3;com foto;desativado;produto diferente da imagem
loja 01;29.15246_00005;vestido;vestido;357;3;com foto;desativado;falta de padrao no tamanho
loja 01;29.16432_0091;calca;calca;417;3;com foto;ativo no site;0
loja 01;29.14822_27414;vestido;vestido;537;3;com foto;ativo no site;0
loja 01;29.16445_2614;colete / kimono;kimono;507;3;com foto;ativo no site;0
loja 01;29.13915_0024;vestido;vestido;198;2;com foto;desativado;produto diferente da imagem
loja 01;29.13518_0005;calca;calca;538;2;com foto;ativo no site;0
loja 01;29.16074_04014;bermuda /short;short;358;2;com foto;ativo no site;0
loja 01;29.14078_0091;bermuda /short;short;258;2;com foto;ativo no site;0
loja 01;29.15747_04069;vestido;vestido;478;2;com foto;desativado;falta de padrao no tamanho
loja 01;29.11702_2710;blusa;tunica;178;2;com foto;ativo no site;0
loja 01;29.15947_30004;calca;calca;278;2;com foto;desativado;falta de padrao no tamanho
loja 01;29.11766_2748;blusa;blusa;158;2;com foto;ativo no site;0
loja 01;29.15458_27662;blusa;top;178;2;com foto;ativo no site;0
loja 01;29.15628_27593;vestido;vestido;758;2;com foto;ativo no site;0
